X_Coordinate,Y_Coordinate,GlacierName,GlacierID
-242675,-2264675,Alison Glacer,A
-242675,-2265425,Alison Glacer,A
-242675,-2266175,Alison Glacer,A
-242675,-2266925,Alison Glacer,A
-242675,-2267675,Alison Glacer,A
-241925,-2264675,Alison Glacer,A
-241925,-2265425,Alison Glacer,A
-241925,-2266175,Alison Glacer,A
-241925,-2266925,Alison Glacer,A
-241925,-2267675,Alison Glacer,A
-241925,-2268425,Alison Glacer,A
-241925,-2269175,Alison Glacer,A
-241925,-2269925,Alison Glacer,A
-241925,-2270675,Alison Glacer,A
-241925,-2271425,Alison Glacer,A
-241175,-2265425,Alison Glacer,A
-241175,-2266175,Alison Glacer,A
-241175,-2266925,Alison Glacer,A
-241175,-2267675,Alison Glacer,A
-241175,-2268425,Alison Glacer,A
-241175,-2269175,Alison Glacer,A
-241175,-2269925,Alison Glacer,A
-241175,-2270675,Alison Glacer,A
-241175,-2271425,Alison Glacer,A
-240425,-2265425,Alison Glacer,A
-240425,-2266175,Alison Glacer,A
-240425,-2266925,Alison Glacer,A
-240425,-2267675,Alison Glacer,A
-240425,-2268425,Alison Glacer,A
-240425,-2269175,Alison Glacer,A
-240425,-2269925,Alison Glacer,A
-240425,-2270675,Alison Glacer,A
-240425,-2271425,Alison Glacer,A
-239675,-2266175,Alison Glacer,A
-239675,-2267675,Alison Glacer,A
-239675,-2268425,Alison Glacer,A
-239675,-2269175,Alison Glacer,A
-239675,-2269925,Alison Glacer,A
-239675,-2270675,Alison Glacer,A
-239675,-2271425,Alison Glacer,A
-239675,-2272175,Alison Glacer,A
-239675,-2282675,Alison Glacer,A
-239675,-2283425,Alison Glacer,A
-238925,-2267675,Alison Glacer,A
-238925,-2268425,Alison Glacer,A
-238925,-2269175,Alison Glacer,A
-238925,-2269925,Alison Glacer,A
-238925,-2270675,Alison Glacer,A
-238925,-2271425,Alison Glacer,A
-238925,-2272175,Alison Glacer,A
-238925,-2272925,Alison Glacer,A
-238925,-2281925,Alison Glacer,A
-238925,-2282675,Alison Glacer,A
-238925,-2283425,Alison Glacer,A
-238175,-2268425,Alison Glacer,A
-238175,-2269175,Alison Glacer,A
-238175,-2269925,Alison Glacer,A
-238175,-2270675,Alison Glacer,A
-238175,-2271425,Alison Glacer,A
-238175,-2272175,Alison Glacer,A
-238175,-2272925,Alison Glacer,A
-238175,-2281925,Alison Glacer,A
-238175,-2282675,Alison Glacer,A
-238175,-2283425,Alison Glacer,A
-238175,-2284175,Alison Glacer,A
-237425,-2268425,Alison Glacer,A
-237425,-2269175,Alison Glacer,A
-237425,-2269925,Alison Glacer,A
-237425,-2270675,Alison Glacer,A
-237425,-2271425,Alison Glacer,A
-237425,-2272175,Alison Glacer,A
-237425,-2272925,Alison Glacer,A
-237425,-2281175,Alison Glacer,A
-237425,-2281925,Alison Glacer,A
-237425,-2282675,Alison Glacer,A
-237425,-2283425,Alison Glacer,A
-237425,-2284175,Alison Glacer,A
-236675,-2269175,Alison Glacer,A
-236675,-2269925,Alison Glacer,A
-236675,-2270675,Alison Glacer,A
-236675,-2271425,Alison Glacer,A
-236675,-2272175,Alison Glacer,A
-236675,-2272925,Alison Glacer,A
-236675,-2273675,Alison Glacer,A
-236675,-2280425,Alison Glacer,A
-236675,-2281175,Alison Glacer,A
-236675,-2281925,Alison Glacer,A
-236675,-2284175,Alison Glacer,A
-235925,-2269175,Alison Glacer,A
-235925,-2269925,Alison Glacer,A
-235925,-2270675,Alison Glacer,A
-235925,-2271425,Alison Glacer,A
-235925,-2272175,Alison Glacer,A
-235925,-2272925,Alison Glacer,A
-235925,-2273675,Alison Glacer,A
-235925,-2279675,Alison Glacer,A
-235925,-2280425,Alison Glacer,A
-235925,-2281175,Alison Glacer,A
-235925,-2281925,Alison Glacer,A
-235175,-2269175,Alison Glacer,A
-235175,-2269925,Alison Glacer,A
-235175,-2270675,Alison Glacer,A
-235175,-2271425,Alison Glacer,A
-235175,-2272175,Alison Glacer,A
-235175,-2272925,Alison Glacer,A
-235175,-2273675,Alison Glacer,A
-235175,-2279675,Alison Glacer,A
