LAT,LON,Official_n,Glacier_ID,Region
62.9052,-42.6851,Heimdal Gletsjer,HEG,SE
63.2216,-42.5455,Guldfaxe (Same as Rimfaxe),GUL,SE
63.2926,-41.9168,Apusiigajik,API,SE
63.305,-42.3669,Rimfaxe ,RIM,SE
63.8846,-41.7654,A.P. Bernstorff Gletsjer,APG,SE
64.35,-41.5667,Gröulv,GRA,SE
66.3735,-38.3067,Helheim Gletsjer,HLG,SE
66.382,-37.5439,Apuseerajik,APU,SE
68.4557,-31.662,Frederiksborg Gletsjer,FRG,CE
68.6746,-33.076,Kangerlussuaq Gletsjer,KSG,CE
68.7,-30.6167,Christian IV Gletsjer,CIG,CE
68.8667,-50.2833,Saqqarliup Sermia,SQS,CW
69.1833,-49.8,Sermeq Kujalleq (Jakobshavn),SEK,CW
69.808,-50.1851,Eqip Sermia,EQS,CW
69.9009,-50.342,Kangilernata Sermia,KLS,CW
69.996,-50.1596,Sermeq Kujalleq N1,SRK,CW
70.0853,-50.2468,Sermeq Avannarleq ,SRA,CW
70.4054,-50.5364,Sermeq Kujalleq N2 (Store),SMK,CW
70.5454,-50.4896,Sermeq Avannarleq N,SMA,CW
70.6333,-50.6167,Sermilik,SLK,CW
70.8268,-50.7627,Sermeq Silarleq,SES,CW
70.9909,-50.9227,Perlerfiup Sermia,PES,CW
71.4588,-51.3101,Kangerlussuup Sermia,KPS,CW
71.75,-29,Daugaard-Jensen Gletsjer,DJG,CE
71.7723,-51.4951,Kangilliup Sermia,KGS,CW
71.8063,-52.3578,Umiammakku Sermiat,UMS,CW
72.0373,-52.6054,Salliarutsip Sermia,SAS,CW
72.8409,-54.2837,Sermeq,SER,NW
73.25,-55.0833,Naajarsuit Sermiat,NAS,NW
73.4784,-55.3035,Kakiffaat Sermiat,KAS,NW
73.5932,-55.5306,Qeqertarsuup Sermia,QPS,NW
73.8317,-55.5825,Sermeq Kujalleq N3,SQK,NW
73.941,-55.7679,Sermeq Avanarleq,SEA,NW
74.2307,-55.8275,Ikissuup Sermersua,IKS,NW
74.4167,-55.9666,Illullip Sermia,ILS,NW
74.9618,-57.0355,Tuttulikassaap Sermia,TKS,NW
75.0996,-57.5723,Kjer Gletsjer,KJG,NW
75.3167,-57.8333,Sermersuaq,SUA,NW
75.4582,-58.0637,Dietrichson Gletsjer,DIG,NW
75.6195,-57.9704,Sverdrup Gletsjer,SVG,NW
75.7759,-58.8283,Nansen Gletsjer,NAG,NW
75.8248,-59.0399,Nordenskiöld Gletsjer,NOG,NW
76.0667,-60.6333,Issuusarsuit Sermiat,ISS,NW
76.2167,-60.9999,Rink Gletsjer N (Melville Bay),RIG,NW
76.3,-61.7666,Qeqertat Timaanni Sermeq,QTS,NW
76.3334,-64.0831,Yngvar Nielsen Gletsjer,YNG,NW
76.3833,-62.7665,Innaqqissorsuup Oqquani Sermeq,IOS,NW
76.5797,-67.626,Ullip Sermia,ULS,NW
77.5167,-65.6664,Qaqujaarsuup Sermia,QAS,NW
77.6564,-65.9679,Qeqertaarsuusarsuup Sermia,QES,NW
77.6934,-68.5829,Kangerluarsuup Sermia,KRS,NW
77.7,-66.233,Tuttulipaluup Sermia,TPS,NW
78.9333,-21,Zachariae Isstrøm,ZIM,NE
79.4462,-63.3957,Sermersuaq,SUQ,NO
64.2966,-49.6102,Kangiata Nunaata Sermia,KNS,SW
64.3833,-49.4779,Akullersuup Sermia,AUS,SW
64.6672,-49.8576,Narsap Sermia,NRS,SW
73.0461,-54.8756,Akullikassaap Sermia,ASS,NW
74.6227,-56.3496,Alison Glacer ,ASG,NW
65.0544,-40.9419,Koge Bugt Glacier,KBG,SE
75.9307,-59.929,Kong Oscar Glacier,KOG,NW
72.8908,-54.5136,Upernavik North Ice Stream,UNS,NW
